Abbreviation,TeamName,Q1,Q2,Q3,Position,Race
OCO,Alpine,0 days 00:01:05.574000,0 days 00:01:05.274000,0 days 00:01:05.883000,10.0,Austrian Grand Prix
RIC,RB,0 days 00:01:05.569000,0 days 00:01:05.289000,,11.0,Austrian Grand Prix
MAG,Haas F1 Team,0 days 00:01:05.508000,0 days 00:01:05.347000,,12.0,Austrian Grand Prix
GAS,Alpine,0 days 00:01:05.598000,0 days 00:01:05.359000,,13.0,Austrian Grand Prix
TSU,RB,0 days 00:01:05.563000,0 days 00:01:05.412000,,14.0,Austrian Grand Prix
ALO,Aston Martin,0 days 00:01:05.656000,0 days 00:01:05.639000,,15.0,Austrian Grand Prix
ALB,Williams,0 days 00:01:05.736000,,,16.0,Austrian Grand Prix
STR,Aston Martin,0 days 00:01:05.819000,,,17.0,Austrian Grand Prix
BOT,Kick Sauber,0 days 00:01:05.847000,,,18.0,Austrian Grand Prix
SAR,Williams,0 days 00:01:05.856000,,,19.0,Austrian Grand Prix
ZHO,Kick Sauber,0 days 00:01:06.061000,,,20.0,Austrian Grand Prix
RUS,Mercedes,0 days 00:01:30.106000,0 days 00:01:26.723000,0 days 00:01:25.819000,1.0,British Grand Prix
HAM,Mercedes,0 days 00:01:29.547000,0 days 00:01:26.770000,0 days 00:01:25.990000,2.0,British Grand Prix
NOR,McLaren,0 days 00:01:31.596000,0 days 00:01:26.559000,0 days 00:01:26.030000,3.0,British Grand Prix
VER,Red Bull Racing,0 days 00:01:31.342000,0 days 00:01:26.796000,0 days 00:01:26.203000,4.0,British Grand Prix
PIA,McLaren,0 days 00:01:30.895000,0 days 00:01:26.733000,0 days 00:01:26.237000,5.0,British Grand Prix
HUL,Haas F1 Team,0 days 00:01:31.929000,0 days 00:01:26.847000,0 days 00:01:26.338000,6.0,British Grand Prix
SAI,Ferrari,0 days 00:01:30.557000,0 days 00:01:26.843000,0 days 00:01:26.509000,7.0,British Grand Prix
STR,Aston Martin,0 days 00:01:31.410000,0 days 00:01:26.938000,0 days 00:01:26.585000,8.0,British Grand Prix
ALB,Williams,0 days 00:01:31.135000,0 days 00:01:26.933000,0 days 00:01:26.640000,9.0,British Grand Prix
ALO,Aston Martin,0 days 00:01:31.264000,0 days 00:01:26.730000,0 days 00:01:26.917000,10.0,British Grand Prix
LEC,Ferrari,0 days 00:01:30.496000,0 days 00:01:27.097000,,11.0,British Grand Prix
SAR,Williams,0 days 00:01:31.608000,0 days 00:01:27.175000,,12.0,British Grand Prix
TSU,RB,0 days 00:01:30.994000,0 days 00:01:27.269000,,13.0,British Grand Prix
ZHO,Kick Sauber,0 days 00:01:31.190000,0 days 00:01:27.867000,,14.0,British Grand Prix
RIC,RB,0 days 00:01:31.291000,0 days 00:01:27.949000,,15.0,British Grand Prix
BOT,Kick Sauber,0 days 00:01:32.431000,,,16.0,British Grand Prix
MAG,Haas F1 Team,0 days 00:01:32.905000,,,17.0,British Grand Prix
OCO,Alpine,0 days 00:01:34.557000,,,18.0,British Grand Prix
PER,Red Bull Racing,0 days 00:01:38.348000,,,19.0,British Grand Prix
GAS,Alpine,0 days 00:01:39.804000,,,20.0,British Grand Prix
NOR,McLaren,0 days 00:01:17.755000,0 days 00:01:15.540000,0 days 00:01:15.227000,1.0,Hungarian Grand Prix
PIA,McLaren,0 days 00:01:17.504000,0 days 00:01:15.785000,0 days 00:01:15.249000,2.0,Hungarian Grand Prix
VER,Red Bull Racing,0 days 00:01:17.087000,0 days 00:01:15.770000,0 days 00:01:15.273000,3.0,Hungarian Grand Prix
SAI,Ferrari,0 days 00:01:17.244000,0 days 00:01:15.885000,0 days 00:01:15.696000,4.0,Hungarian Grand Prix
HAM,Mercedes,0 days 00:01:17.087000,0 days 00:01:16.307000,0 days 00:01:15.854000,5.0,Hungarian Grand Prix
LEC,Ferrari,0 days 00:01:17.437000,0 days 00:01:15.891000,0 days 00:01:15.905000,6.0,Hungarian Grand Prix
ALO,Aston Martin,0 days 00:01:17.624000,0 days 00:01:16.117000,0 days 00:01:16.043000,7.0,Hungarian Grand Prix
STR,Aston Martin,0 days 00:01:17.405000,0 days 00:01:16.075000,0 days 00:01:16.244000,8.0,Hungarian Grand Prix
RIC,RB,0 days 00:01:17.050000,0 days 00:01:16.202000,0 days 00:01:16.447000,9.0,Hungarian Grand Prix
TSU,RB,0 days 00:01:17.436000,0 days 00:01:16.121000,0 days 00:01:16.477000,10.0,Hungarian Grand Prix
HUL,Haas F1 Team,0 days 00:01:17.362000,0 days 00:01:16.317000,,11.0,Hungarian Grand Prix
BOT,Kick Sauber,0 days 00:01:17.487000,0 days 00:01:16.384000,,12.0,Hungarian Grand Prix
ALB,Williams,0 days 00:01:17.280000,0 days 00:01:16.429000,,13.0,Hungarian Grand Prix
SAR,Williams,0 days 00:01:17.770000,0 days 00:01:16.543000,,14.0,Hungarian Grand Prix
MAG,Haas F1 Team,0 days 00:01:17.851000,0 days 00:01:16.548000,,15.0,Hungarian Grand Prix
PER,Red Bull Racing,0 days 00:01:17.886000,,,16.0,Hungarian Grand Prix
RUS,Mercedes,0 days 00:01:17.968000,,,17.0,Hungarian Grand Prix
ZHO,Kick Sauber,0 days 00:01:18.037000,,,18.0,Hungarian Grand Prix
OCO,Alpine,0 days 00:01:18.049000,,,19.0,Hungarian Grand Prix
GAS,Alpine,0 days 00:01:18.166000,,,20.0,Hungarian Grand Prix
VER,Red Bull Racing,0 days 00:01:54.938000,0 days 00:01:53.837000,0 days 00:01:53.159000,1.0,Belgian Grand Prix
LEC,Ferrari,0 days 00:01:55.349000,0 days 00:01:54.193000,0 days 00:01:53.754000,2.0,Belgian Grand Prix
PER,Red Bull Racing,0 days 00:01:55.139000,0 days 00:01:54.470000,0 days 00:01:53.765000,3.0,Belgian Grand Prix
HAM,Mercedes,0 days 00:01:55.692000,0 days 00:01:54.037000,0 days 00:01:53.835000,4.0,Belgian Grand Prix
NOR,McLaren,0 days 00:01:55.582000,0 days 00:01:54.358000,0 days 00:01:53.981000,5.0,Belgian Grand Prix
PIA,McLaren,0 days 00:01:54.835000,0 days 00:01:54.136000,0 days 00:01:54.027000,6.0,Belgian Grand Prix
RUS,Mercedes,0 days 00:01:55.353000,0 days 00:01:54.095000,0 days 00:01:54.184000,7.0,Belgian Grand Prix
SAI,Ferrari,0 days 00:01:55.169000,0 days 00:01:54.112000,0 days 00:01:54.477000,8.0,Belgian Grand Prix
ALO,Aston Martin,0 days 00:01:55.489000,0 days 00:01:54.258000,0 days 00:01:54.765000,9.0,Belgian Grand Prix
OCO,Alpine,0 days 00:01:55.417000,0 days 00:01:54.460000,0 days 00:01:54.810000,10.0,Belgian Grand Prix
ALB,Williams,0 days 00:01:55.722000,0 days 00:01:54.473000,,11.0,Belgian Grand Prix
GAS,Alpine,0 days 00:01:54.911000,0 days 00:01:54.635000,,12.0,Belgian Grand Prix
RIC,RB,0 days 00:01:55.451000,0 days 00:01:54.682000,,13.0,Belgian Grand Prix
BOT,Kick Sauber,0 days 00:01:55.531000,0 days 00:01:54.764000,,14.0,Belgian Grand Prix
STR,Aston Martin,0 days 00:01:56.072000,0 days 00:01:55.716000,,15.0,Belgian Grand Prix
HUL,Haas F1 Team,0 days 00:01:56.308000,,,16.0,Belgian Grand Prix
MAG,Haas F1 Team,0 days 00:01:56.500000,,,17.0,Belgian Grand Prix
TSU,RB,0 days 00:01:56.593000,,,18.0,Belgian Grand Prix
SAR,Williams,0 days 00:01:57.230000,,,19.0,Belgian Grand Prix
ZHO,Kick Sauber,0 days 00:01:57.775000,,,20.0,Belgian Grand Prix
NOR,McLaren,0 days 00:01:11.377000,0 days 00:01:10.496000,0 days 00:01:09.673000,1.0,Dutch Grand Prix
VER,Red Bull Racing,0 days 00:01:11.393000,0 days 00:01:10.811000,0 days 00:01:10.029000,2.0,Dutch Grand Prix
PIA,McLaren,0 days 00:01:11.541000,0 days 00:01:10.505000,0 days 00:01:10.172000,3.0,Dutch Grand Prix
RUS,Mercedes,0 days 00:01:11.049000,0 days 00:01:10.552000,0 days 00:01:10.244000,4.0,Dutch Grand Prix
PER,Red Bull Racing,0 days 00:01:11.006000,0 days 00:01:10.678000,0 days 00:01:10.416000,5.0,Dutch Grand Prix
LEC,Ferrari,0 days 00:01:11.370000,0 days 00:01:10.689000,0 days 00:01:10.582000,6.0,Dutch Grand Prix
ALO,Aston Martin,0 days 00:01:11.493000,0 days 00:01:10.845000,0 days 00:01:10.633000,7.0,Dutch Grand Prix
STR,Aston Martin,0 days 00:01:11.518000,0 days 00:01:10.661000,0 days 00:01:10.857000,8.0,Dutch Grand Prix
GAS,Alpine,0 days 00:01:11.718000,0 days 00:01:10.815000,0 days 00:01:10.977000,9.0,Dutch Grand Prix
SAI,Ferrari,0 days 00:01:11.327000,0 days 00:01:10.914000,,10.0,Dutch Grand Prix
ALB,Williams,,0 days 00:01:10.768000,0 days 00:01:10.653000,10.0,Dutch Grand Prix
HAM,Mercedes,0 days 00:01:11.375000,0 days 00:01:10.948000,,11.0,Dutch Grand Prix
TSU,RB,0 days 00:01:11.603000,0 days 00:01:10.955000,,12.0,Dutch Grand Prix
HUL,Haas F1 Team,0 days 00:01:11.832000,0 days 00:01:11.215000,,13.0,Dutch Grand Prix
MAG,Haas F1 Team,0 days 00:01:11.630000,0 days 00:01:11.295000,,14.0,Dutch Grand Prix
RIC,RB,0 days 00:01:11.943000,,,15.0,Dutch Grand Prix
OCO,Alpine,0 days 00:01:11.995000,,,16.0,Dutch Grand Prix
BOT,Kick Sauber,0 days 00:01:12.168000,,,17.0,Dutch Grand Prix
ZHO,Kick Sauber,0 days 00:01:13.261000,,,18.0,Dutch Grand Prix
SAR,Williams,,,,20.0,Dutch Grand Prix
NOR,McLaren,0 days 00:01:19.911000,0 days 00:01:19.727000,0 days 00:01:19.327000,1.0,Italian Grand Prix
PIA,McLaren,0 days 00:01:20.076000,0 days 00:01:19.808000,0 days 00:01:19.436000,2.0,Italian Grand Prix
RUS,Mercedes,0 days 00:01:20.169000,0 days 00:01:19.877000,0 days 00:01:19.440000,3.0,Italian Grand Prix
LEC,Ferrari,0 days 00:01:20.074000,0 days 00:01:20.007000,0 days 00:01:19.461000,4.0,Italian Grand Prix
SAI,Ferrari,0 days 00:01:20.149000,0 days 00:01:19.799000,0 days 00:01:19.467000,5.0,Italian Grand Prix
HAM,Mercedes,0 days 00:01:20.477000,0 days 00:01:19.641000,0 days 00:01:19.513000,6.0,Italian Grand Prix
VER,Red Bull Racing,0 days 00:01:20.226000,0 days 00:01:19.662000,0 days 00:01:20.022000,7.0,Italian Grand Prix
PER,Red Bull Racing,0 days 00:01:20.598000,0 days 00:01:20.216000,0 days 00:01:20.062000,8.0,Italian Grand Prix
ALB,Williams,0 days 00:01:20.542000,0 days 00:01:20.314000,0 days 00:01:20.299000,9.0,Italian Grand Prix
HUL,Haas F1 Team,0 days 00:01:20.781000,0 days 00:01:20.411000,0 days 00:01:20.339000,10.0,Italian Grand Prix
ALO,Aston Martin,0 days 00:01:20.617000,0 days 00:01:20.421000,,11.0,Italian Grand Prix
RIC,RB,0 days 00:01:20.901000,0 days 00:01:20.479000,,12.0,Italian Grand Prix
MAG,Haas F1 Team,0 days 00:01:20.856000,0 days 00:01:20.698000,,13.0,Italian Grand Prix
GAS,Alpine,0 days 00:01:20.748000,0 days 00:01:20.738000,,14.0,Italian Grand Prix
OCO,Alpine,0 days 00:01:20.764000,0 days 00:01:20.766000,,15.0,Italian Grand Prix
TSU,RB,0 days 00:01:20.945000,,,16.0,Italian Grand Prix
STR,Aston Martin,0 days 00:01:21.013000,,,17.0,Italian Grand Prix
COL,Williams,0 days 00:01:21.061000,,,18.0,Italian Grand Prix
BOT,Kick Sauber,0 days 00:01:21.101000,,,19.0,Italian Grand Prix
ZHO,Kick Sauber,0 days 00:01:21.445000,,,20.0,Italian Grand Prix
LEC,Ferrari,0 days 00:01:42.775000,0 days 00:01:42.056000,0 days 00:01:41.365000,1.0,Azerbaijan Grand Prix
PIA,McLaren,0 days 00:01:43.033000,0 days 00:01:42.598000,0 days 00:01:41.686000,2.0,Azerbaijan Grand Prix
SAI,Ferrari,0 days 00:01:43.357000,0 days 00:01:42.503000,0 days 00:01:41.805000,3.0,Azerbaijan Grand Prix
PER,Red Bull Racing,0 days 00:01:43.213000,0 days 00:01:42.263000,0 days 00:01:41.813000,4.0,Azerbaijan Grand Prix
RUS,Mercedes,0 days 00:01:43.139000,0 days 00:01:42.329000,0 days 00:01:41.874000,5.0,Azerbaijan Grand Prix
VER,Red Bull Racing,0 days 00:01:43.097000,0 days 00:01:42.042000,0 days 00:01:42.023000,6.0,Azerbaijan Grand Prix
HAM,Mercedes,0 days 00:01:43.089000,0 days 00:01:42.765000,0 days 00:01:42.289000,7.0,Azerbaijan Grand Prix
ALO,Aston Martin,0 days 00:01:43.472000,0 days 00:01:42.426000,0 days 00:01:42.369000,8.0,Azerbaijan Grand Prix
COL,Williams,0 days 00:01:43.138000,0 days 00:01:42.473000,0 days 00:01:42.530000,9.0,Azerbaijan Grand Prix
ALB,Williams,0 days 00:01:42.899000,0 days 00:01:42.840000,0 days 00:01:42.859000,10.0,Azerbaijan Grand Prix
BEA,Haas F1 Team,0 days 00:01:43.471000,0 days 00:01:42.968000,,11.0,Azerbaijan Grand Prix
TSU,RB,0 days 00:01:43.337000,0 days 00:01:43.035000,,12.0,Azerbaijan Grand Prix
HUL,Haas F1 Team,0 days 00:01:43.101000,0 days 00:01:43.191000,,13.0,Azerbaijan Grand Prix
STR,Aston Martin,0 days 00:01:43.370000,0 days 00:01:43.404000,,14.0,Azerbaijan Grand Prix
RIC,RB,0 days 00:01:43.547000,,,15.0,Azerbaijan Grand Prix
GAS,Alpine,,0 days 00:01:43.179000,,15.0,Azerbaijan Grand Prix
NOR,McLaren,0 days 00:01:43.609000,,,16.0,Azerbaijan Grand Prix
BOT,Kick Sauber,0 days 00:01:43.618000,,,17.0,Azerbaijan Grand Prix
ZHO,Kick Sauber,0 days 00:01:44.246000,,,18.0,Azerbaijan Grand Prix
OCO,Alpine,0 days 00:01:44.504000,,,19.0,Azerbaijan Grand Prix
NOR,McLaren,0 days 00:01:30.002000,0 days 00:01:30.007000,0 days 00:01:29.525000,1.0,Singapore Grand Prix
VER,Red Bull Racing,0 days 00:01:30.157000,0 days 00:01:29.680000,0 days 00:01:29.728000,2.0,Singapore Grand Prix
HAM,Mercedes,0 days 00:01:30.393000,0 days 00:01:29.929000,0 days 00:01:29.841000,3.0,Singapore Grand Prix
RUS,Mercedes,0 days 00:01:30.811000,0 days 00:01:30.153000,0 days 00:01:29.867000,4.0,Singapore Grand Prix
PIA,McLaren,0 days 00:01:30.258000,0 days 00:01:29.640000,0 days 00:01:29.953000,5.0,Singapore Grand Prix
HUL,Haas F1 Team,0 days 00:01:30.724000,0 days 00:01:30.150000,0 days 00:01:30.115000,6.0,Singapore Grand Prix
ALO,Aston Martin,0 days 00:01:30.684000,0 days 00:01:30.450000,0 days 00:01:30.214000,7.0,Singapore Grand Prix
TSU,RB,0 days 00:01:30.716000,0 days 00:01:30.289000,0 days 00:01:30.354000,8.0,Singapore Grand Prix
LEC,Ferrari,0 days 00:01:30.786000,0 days 00:01:29.747000,,9.0,Singapore Grand Prix
SAI,Ferrari,0 days 00:01:30.670000,0 days 00:01:30.108000,,10.0,Singapore Grand Prix
ALB,Williams,0 days 00:01:30.679000,0 days 00:01:30.474000,,11.0,Singapore Grand Prix
COL,Williams,0 days 00:01:30.704000,0 days 00:01:30.481000,,12.0,Singapore Grand Prix
PER,Red Bull Racing,0 days 00:01:30.624000,0 days 00:01:30.579000,,13.0,Singapore Grand Prix
MAG,Haas F1 Team,0 days 00:01:30.829000,0 days 00:01:30.653000,,14.0,Singapore Grand Prix
OCO,Alpine,0 days 00:01:30.958000,0 days 00:01:30.769000,,15.0,Singapore Grand Prix
RIC,RB,0 days 00:01:31.085000,,,16.0,Singapore Grand Prix
STR,Aston Martin,0 days 00:01:31.094000,,,17.0,Singapore Grand Prix
GAS,Alpine,0 days 00:01:31.312000,,,18.0,Singapore Grand Prix
BOT,Kick Sauber,0 days 00:01:31.572000,,,19.0,Singapore Grand Prix
ZHO,Kick Sauber,0 days 00:01:32.054000,,,20.0,Singapore Grand Prix
NOR,McLaren,0 days 00:01:33.616000,0 days 00:01:32.851000,0 days 00:01:32.330000,1.0,United States Grand Prix
VER,Red Bull Racing,0 days 00:01:33.046000,0 days 00:01:32.584000,0 days 00:01:32.361000,2.0,United States Grand Prix
SAI,Ferrari,0 days 00:01:33.556000,0 days 00:01:32.836000,0 days 00:01:32.652000,3.0,United States Grand Prix
LEC,Ferrari,0 days 00:01:33.241000,0 days 00:01:32.962000,0 days 00:01:32.740000,4.0,United States Grand Prix
PIA,McLaren,0 days 00:01:33.864000,0 days 00:01:33.057000,0 days 00:01:32.950000,5.0,United States Grand Prix
RUS,Mercedes,0 days 00:01:33.536000,0 days 00:01:33.142000,0 days 00:01:32.974000,6.0,United States Grand Prix
GAS,Alpine,0 days 00:01:33.550000,0 days 00:01:33.162000,0 days 00:01:33.018000,7.0,United States Grand Prix
ALO,Aston Martin,0 days 00:01:33.973000,0 days 00:01:33.429000,0 days 00:01:33.309000,8.0,United States Grand Prix
MAG,Haas F1 Team,0 days 00:01:33.564000,0 days 00:01:33.474000,0 days 00:01:33.481000,9.0,United States Grand Prix
PER,Red Bull Racing,0 days 00:01:33.611000,0 days 00:01:33.020000,,10.0,United States Grand Prix
TSU,RB,0 days 00:01:33.795000,0 days 00:01:33.506000,,11.0,United States Grand Prix
HUL,Haas F1 Team,0 days 00:01:33.601000,0 days 00:01:33.544000,,12.0,United States Grand Prix
OCO,Alpine,0 days 00:01:33.986000,0 days 00:01:33.597000,,13.0,United States Grand Prix
STR,Aston Martin,0 days 00:01:34.033000,0 days 00:01:33.759000,,14.0,United States Grand Prix
LAW,RB,0 days 00:01:33.339000,,,15.0,United States Grand Prix
ALB,Williams,0 days 00:01:34.051000,,,16.0,United States Grand Prix
COL,Williams,0 days 00:01:34.062000,,,17.0,United States Grand Prix
BOT,Kick Sauber,0 days 00:01:34.152000,,,18.0,United States Grand Prix
HAM,Mercedes,0 days 00:01:34.154000,,,19.0,United States Grand Prix
ZHO,Kick Sauber,0 days 00:01:34.228000,,,20.0,United States Grand Prix
SAI,Ferrari,0 days 00:01:16.778000,0 days 00:01:16.515000,0 days 00:01:15.946000,1.0,Mexico City Grand Prix
VER,Red Bull Racing,0 days 00:01:16.803000,0 days 00:01:16.514000,0 days 00:01:16.171000,2.0,Mexico City Grand Prix
NOR,McLaren,0 days 00:01:16.505000,0 days 00:01:16.301000,0 days 00:01:16.260000,3.0,Mexico City Grand Prix
LEC,Ferrari,0 days 00:01:16.972000,0 days 00:01:16.641000,0 days 00:01:16.265000,4.0,Mexico City Grand Prix
RUS,Mercedes,0 days 00:01:17.194000,0 days 00:01:16.937000,0 days 00:01:16.356000,5.0,Mexico City Grand Prix
HAM,Mercedes,0 days 00:01:17.306000,0 days 00:01:16.973000,0 days 00:01:16.651000,6.0,Mexico City Grand Prix
MAG,Haas F1 Team,0 days 00:01:17.125000,0 days 00:01:17.003000,0 days 00:01:16.886000,7.0,Mexico City Grand Prix
GAS,Alpine,0 days 00:01:17.149000,0 days 00:01:17.048000,0 days 00:01:16.892000,8.0,Mexico City Grand Prix
ALB,Williams,0 days 00:01:17.189000,0 days 00:01:16.988000,0 days 00:01:17.065000,9.0,Mexico City Grand Prix
HUL,Haas F1 Team,0 days 00:01:17.186000,0 days 00:01:16.995000,0 days 00:01:17.365000,10.0,Mexico City Grand Prix
TSU,RB,0 days 00:01:17.182000,0 days 00:01:17.129000,,11.0,Mexico City Grand Prix
LAW,RB,0 days 00:01:17.380000,0 days 00:01:17.162000,,12.0,Mexico City Grand Prix
ALO,Aston Martin,0 days 00:01:17.307000,0 days 00:01:17.168000,,13.0,Mexico City Grand Prix
STR,Aston Martin,0 days 00:01:17.407000,0 days 00:01:17.294000,,14.0,Mexico City Grand Prix
BOT,Kick Sauber,0 days 00:01:17.393000,0 days 00:01:17.817000,,15.0,Mexico City Grand Prix
COL,Williams,0 days 00:01:17.558000,,,16.0,Mexico City Grand Prix
PIA,McLaren,0 days 00:01:17.597000,,,17.0,Mexico City Grand Prix
PER,Red Bull Racing,0 days 00:01:17.611000,,,18.0,Mexico City Grand Prix
OCO,Alpine,0 days 00:01:17.617000,,,19.0,Mexico City Grand Prix
ZHO,Kick Sauber,0 days 00:01:18.072000,,,20.0,Mexico City Grand Prix
NOR,McLaren,0 days 00:01:30.944000,0 days 00:01:24.844000,0 days 00:01:23.405000,1.0,São Paulo Grand Prix
RUS,Mercedes,0 days 00:01:29.121000,0 days 00:01:26.307000,0 days 00:01:23.578000,2.0,São Paulo Grand Prix
TSU,RB,0 days 00:01:29.172000,0 days 00:01:26.464000,0 days 00:01:24.111000,3.0,São Paulo Grand Prix
OCO,Alpine,0 days 00:01:29.171000,0 days 00:01:26.206000,0 days 00:01:24.475000,4.0,São Paulo Grand Prix
LAW,RB,0 days 00:01:30.758000,0 days 00:01:25.654000,0 days 00:01:24.484000,5.0,São Paulo Grand Prix
LEC,Ferrari,0 days 00:01:29.839000,0 days 00:01:26.097000,0 days 00:01:24.525000,6.0,São Paulo Grand Prix
ALB,Williams,0 days 00:01:29.072000,0 days 00:01:24.657000,0 days 00:01:24.657000,7.0,São Paulo Grand Prix
PIA,McLaren,0 days 00:01:30.114000,0 days 00:01:24.686000,0 days 00:01:24.686000,8.0,São Paulo Grand Prix
ALO,Aston Martin,0 days 00:01:30.207000,0 days 00:01:28.998000,0 days 00:01:28.998000,9.0,São Paulo Grand Prix
STR,Aston Martin,0 days 00:01:30.580000,0 days 00:01:26.334000,,10.0,São Paulo Grand Prix
BOT,Kick Sauber,0 days 00:01:30.633000,0 days 00:01:26.472000,,11.0,São Paulo Grand Prix
VER,Red Bull Racing,0 days 00:01:28.522000,0 days 00:01:27.771000,,12.0,São Paulo Grand Prix
PER,Red Bull Racing,0 days 00:01:30.035000,0 days 00:01:28.158000,,13.0,São Paulo Grand Prix
SAI,Ferrari,0 days 00:01:30.303000,0 days 00:01:29.406000,,14.0,São Paulo Grand Prix
GAS,Alpine,0 days 00:01:29.420000,0 days 00:01:29.614000,,15.0,São Paulo Grand Prix
HAM,Mercedes,0 days 00:01:31.150000,,,16.0,São Paulo Grand Prix
BEA,Haas F1 Team,0 days 00:01:31.229000,,,17.0,São Paulo Grand Prix
COL,Williams,0 days 00:01:31.270000,,,18.0,São Paulo Grand Prix
HUL,Haas F1 Team,0 days 00:01:31.623000,,,19.0,São Paulo Grand Prix
ZHO,Kick Sauber,0 days 00:01:32.263000,,,20.0,São Paulo Grand Prix
RUS,Mercedes,0 days 00:01:33.186000,0 days 00:01:32.779000,0 days 00:01:32.312000,1.0,Las Vegas Grand Prix
SAI,Ferrari,0 days 00:01:33.484000,0 days 00:01:32.711000,0 days 00:01:32.410000,2.0,Las Vegas Grand Prix
GAS,Alpine,0 days 00:01:33.691000,0 days 00:01:32.879000,0 days 00:01:32.664000,3.0,Las Vegas Grand Prix
LEC,Ferrari,0 days 00:01:33.446000,0 days 00:01:33.016000,0 days 00:01:32.783000,4.0,Las Vegas Grand Prix
VER,Red Bull Racing,0 days 00:01:33.299000,0 days 00:01:33.085000,0 days 00:01:32.797000,5.0,Las Vegas Grand Prix
NOR,McLaren,0 days 00:01:33.592000,0 days 00:01:33.099000,0 days 00:01:33.008000,6.0,Las Vegas Grand Prix
TSU,RB,0 days 00:01:33.789000,0 days 00:01:33.089000,0 days 00:01:33.029000,7.0,Las Vegas Grand Prix
PIA,McLaren,0 days 00:01:33.450000,0 days 00:01:33.024000,0 days 00:01:33.033000,8.0,Las Vegas Grand Prix
HUL,Haas F1 Team,0 days 00:01:33.920000,0 days 00:01:33.114000,0 days 00:01:33.062000,9.0,Las Vegas Grand Prix
HAM,Mercedes,0 days 00:01:33.225000,0 days 00:01:32.567000,0 days 00:01:48.106000,10.0,Las Vegas Grand Prix
OCO,Alpine,0 days 00:01:33.968000,0 days 00:01:33.221000,,11.0,Las Vegas Grand Prix
MAG,Haas F1 Team,0 days 00:01:33.991000,0 days 00:01:33.297000,,12.0,Las Vegas Grand Prix
ZHO,Kick Sauber,0 days 00:01:34.079000,0 days 00:01:33.566000,,13.0,Las Vegas Grand Prix
